block_number,block_timestamp_utc,transaction_hash,transaction_index,method,call_scope,counter_relevant,direct_transfer_ordinal,transfer_from_ordinal,random_before,random_after,counter_action,counter_certainty_before,counter_certainty_after,expected_full_burn_from_counter,observed_full_burn_candidate,classification,burn_log_count,burn_raw_value,nonburn_raw_value
8943710,2019-11-16 09:47:49 UTC,0x4b901dc0addbffbf5c7451b2a50668b6424b10fc0cb28d34e53516a25353c563,60,"transfer(address,uint256)",direct_contract_call,True,73,,72,73,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943710,2019-11-16 09:47:49 UTC,0xbfb1534c6307b86c93060ea90ba4b06f7d3d1f4a166ed14260b8f4fb3a147500,61,"transfer(address,uint256)",direct_contract_call,True,74,,73,74,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943711,2019-11-16 09:47:55 UTC,0xe1a1b40a4b53bf07ad61f5bbc9eae5c81ff93fa386d40aece957c5c086fdd7b9,114,"transfer(address,uint256)",direct_contract_call,True,75,,74,75,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943712,2019-11-16 09:48:08 UTC,0x7f58fbb7b2a57721454815bce9e308bd0432ffe2c76a9686cc4ef89ab5370210,116,"transfer(address,uint256)",direct_contract_call,True,76,,75,76,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943712,2019-11-16 09:48:08 UTC,0x126dada055a67e3116b35d128d00c4facfd4311500b1edd3c1a51503e2817285,117,"transfer(address,uint256)",direct_contract_call,True,77,,76,77,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943712,2019-11-16 09:48:08 UTC,0x8cad1108910abcf04987c76dba8dd152b7518f417c00d71a0f6318e871241811,118,"transfer(address,uint256)",direct_contract_call,True,78,,77,78,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943712,2019-11-16 09:48:08 UTC,0x0a50d7de1a843b9b70405d4216f90fcc6d820ad1a7fc4292be6ad2f44a2b5f16,119,"transfer(address,uint256)",direct_contract_call,True,79,,78,79,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943712,2019-11-16 09:48:08 UTC,0xdba83f0d136696ead2f53743e357db80b4655278c5926194fb641f40fd5300b8,120,"transfer(address,uint256)",direct_contract_call,True,80,,79,80,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943713,2019-11-16 09:48:28 UTC,0xb80ebe6ea051bb4943821fda8d214c21306b94b0ecac6f5389a2a513d4bd4466,29,"transfer(address,uint256)",direct_contract_call,True,81,,80,81,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943713,2019-11-16 09:48:28 UTC,0xff6b66d8a80caec1c0525b3c2e7cc8a7088583bc6b38e94cbabfe1e7a107bffc,30,"transfer(address,uint256)",direct_contract_call,True,82,,81,82,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943715,2019-11-16 09:49:12 UTC,0xa4cbae3077dc2b8672d8fa99d32e83bb74915f2ef1afcde0a8aa5402eb266ed8,167,"transfer(address,uint256)",direct_contract_call,True,83,,82,83,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943715,2019-11-16 09:49:12 UTC,0xe7d5d514019d1ca194a1b7ec29b552d42be0262bfe8f2983f1ad5e36c4754572,168,"transfer(address,uint256)",direct_contract_call,True,84,,83,84,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
